group;year;week;value
0to14;2017;52;50
0to14;2018;0;0
0to14;2018;1;-3
0to14;2018;2;44
0to14;2018;3;29
0to14;2018;4;16
0to14;2018;5;0
0to14;2018;6;-2
0to14;2018;7;-3
0to14;2018;8;-13
0to14;2018;9;0
0to14;2018;10;6
0to14;2018;11;15
0to14;2018;12;29
0to14;2018;13;56
0to14;2018;14;55
0to14;2018;15;54
0to14;2018;16;65
0to14;2018;17;48
0to14;2018;18;36
0to14;2018;19;31
0to14;2018;20;39
0to14;2018;21;29
0to14;2018;22;-15
0to14;2018;23;-7
0to14;2018;24;-7
0to14;2018;25;-38
0to14;2018;26;-50
0to14;2018;27;-12
0to14;2018;28;-1
0to14;2018;29;10
0to14;2018;30;17
0to14;2018;31;14
0to14;2018;32;32
0to14;2018;33;13
0to14;2018;34;26
0to14;2018;35;-10
0to14;2018;36;-36
0to14;2018;37;3
0to14;2018;38;38
0to14;2018;39;25
0to14;2018;40;15
0to14;2018;41;34
0to14;2018;42;60
0to14;2018;43;41
0to14;2018;44;30
0to14;2018;45;69
0to14;2018;46;99
0to14;2018;47;107
0to14;2018;48;125
0to14;2018;49;147
0to14;2018;50;169
0to14;2018;51;188
0to14;2018;52;165
0to14;2019;0;0
0to14;2019;1;37
0to14;2019;2;54
0to14;2019;3;76
0to14;2019;4;85
0to14;2019;5;125
0to14;2019;6;159
0to14;2019;7;190
0to14;2019;8;223
0to14;2019;9;235
0to14;2019;10;237
0to14;2019;11;237
0to14;2019;12;231
0to14;2019;13;207
0to14;2019;14;226
0to14;2019;15;266
0to14;2019;16;249
0to14;2019;17;253
0to14;2019;18;267
0to14;2019;19;242
0to14;2019;20;232
0to14;2019;21;235
0to14;2019;22;208
0to14;2019;23;207
0to14;2019;24;207
0to14;2019;25;199
0to14;2019;26;200
0to14;2019;27;196
0to14;2019;28;224
0to14;2019;29;201
0to14;2019;30;212
0to14;2019;31;252
0to14;2019;32;234
0to14;2019;33;234
0to14;2019;34;271
0to14;2019;35;278
0to14;2019;36;257
0to14;2019;37;252
0to14;2019;38;272
0to14;2019;39;254
0to14;2019;40;270
0to14;2019;41;262
0to14;2019;42;252
0to14;2019;43;269
0to14;2019;44;234
0to14;2019;45;241
0to14;2019;46;253
0to14;2019;47;270
0to14;2019;48;308
0to14;2019;49;332
0to14;2019;50;388
0to14;2019;51;431
0to14;2019;52;482
0to14;2020;0;0
0to14;2020;1;-15
0to14;2020;2;7
0to14;2020;3;27
0to14;2020;4;76
0to14;2020;5;93
0to14;2020;6;103
0to14;2020;7;105
0to14;2020;8;112
0to14;2020;9;117
0to14;2020;10;116
0to14;2020;11;135
0to14;2020;12;130
0to14;2020;13;135
0to14;2020;14;112
0to14;2020;15;115
0to14;2020;16;85
0to14;2020;17;63
0to14;2020;18;35
0to14;2020;19;21
0to14;2020;20;14
0to14;2020;21;-13
0to14;2020;22;-37
0to14;2020;23;-41
0to14;2020;24;-71
0to14;2020;25;-93
0to14;2020;26;-92
0to14;2020;27;-120
0to14;2020;28;-159
0to14;2020;29;-169
0to14;2020;30;-130
0to14;2020;31;-146
0to14;2020;32;-163
0to14;2020;33;-183
0to14;2020;34;-211
0to14;2020;35;-242
0to14;2020;36;-267
0to14;2020;37;-273
0to14;2020;38;-275
0to14;2020;39;-280
0to14;2020;40;-314
0to14;2020;41;-313
0to14;2020;42;-360
0to14;2020;43;-382
0to14;2020;44;-423
0to14;2020;45;-417
0to14;2020;46;-432
0to14;2020;47;-455
0to14;2020;48;-478
0to14;2020;49;-480
0to14;2020;50;-496
0to14;2020;51;-502
0to14;2020;52;-542
15to44;2021;0;0
15to44;2021;1;86
15to44;2021;2;170
15to44;2021;3;305
15to44;2021;4;413
15to44;2021;5;487
15to44;2021;6;482
15to44;2021;7;518
15to44;2021;8;480
15to44;2021;9;463
15to44;2021;10;475
15to44;2021;11;485
15to44;2021;12;535
15to44;2021;13;643
15to44;2021;14;724
15to44;2021;15;793
15to44;2021;16;861
15to44;2021;17;871
15to44;2021;18;909
15to44;2021;19;858
15to44;2021;20;832
15to44;2021;21;857
15to44;2021;22;872
15to44;2021;23;858
15to44;2021;24;974
15to44;2021;25;1021
15to44;2021;26;1073
15to44;2021;27;1185
15to44;2021;28;1289
15to44;2021;29;1493
15to44;2021;30;1628
15to44;2021;31;1694
15to44;2021;32;1808
15to44;2021;33;1869
15to44;2021;34;1942
15to44;2021;35;2005
15to44;2021;36;2170
15to44;2021;37;2244
15to44;2021;38;2294
15to44;2021;39;2332
15to44;2021;40;2394
15to44;2021;41;2390
15to44;2021;42;2445
15to44;2021;43;2409
15to44;2021;44;2443
15to44;2021;45;2561
15to44;2021;46;2637
15to44;2021;47;2781
15to44;2021;48;2940
15to44;2021;49;3037
15to44;2021;50;3146
15to44;2021;51;3245
15to44;2021;52;3466
15to44;2022;0;0
15to44;2022;1;127
15to44;2022;2;202
15to44;2022;3;222
15to44;2022;4;255
15to44;2022;5;299
15to44;2022;6;297
15to44;2022;7;328
15to44;2022;8;340
15to44;2022;9;341
15to44;2022;10;367
15to44;2022;11;425
15to44;2022;12;411
15to44;2022;13;391
15to44;2022;14;395
15to44;2022;15;332
15to44;2022;16;259
15to44;2022;17;259
15to44;2022;18;295
15to44;2022;19;287
15to44;2022;20;308
15to44;2022;21;289
15to44;2022;22;241
15to44;2022;23;297
15to44;2022;24;350
15to44;2022;25;362
15to44;2022;26;351
15to44;2022;27;446
15to44;2022;28;521
15to44;2022;29;572
15to44;2022;30;645
15to44;2022;31;700
15to44;2022;32;816
15to44;2022;33;797
15to44;2022;34;776
15to44;2022;35;746
15to44;2022;36;721
15to44;2022;37;612
15to44;2022;38;565
15to44;2022;39;448
15to44;2022;40;412
15to44;2022;41;389
15to44;2022;42;309
15to44;2022;43;214
15to44;2022;44;134
15to44;2022;45;33
15to44;2022;46;-78
15to44;2022;47;-128
15to44;2022;48;-140
15to44;2022;49;-120
15to44;2022;50;-138
15to44;2022;51;-1
15to44;2022;52;186
15to44;2023;0;0
15to44;2023;1;37
15to44;2023;2;28
15to44;2023;3;-11
15to44;2023;4;-49
15to44;2023;5;4
15to44;2023;6;-21
15to44;2023;7;-43
15to44;2023;8;-89
15to44;2023;9;-58
15to44;2023;10;-29
15to44;2023;11;-9
15to44;2023;12;-5
15to44;2023;13;-73
